,total assets
2023-05-25,113231.85
2023-05-26,111911.83
2023-05-29,113571.8
2023-05-30,113779.5
2023-05-31,113096.81999999999
2023-06-01,113375.89000000001
2023-06-02,113937.22
2023-06-05,115519.41
2023-06-06,116497.98999999999
2023-06-07,117358.9
2023-06-08,116952.43000000001
2023-06-09,117306.24
2023-06-12,117476.15000000001
2023-06-13,118030.75
2023-06-14,118429.13
2023-06-15,120024.14000000001
2023-06-16,120498.09
2023-06-19,120643.08
2023-06-20,120000.09
2023-06-21,119506.87
2023-06-22,120961.84000000001
2023-06-23,121731.64000000001
2023-06-26,121373.63
2023-06-27,120665.86000000002
2023-06-28,120606.75
2023-06-29,121771.14000000001
2023-06-30,121103.96
2023-07-03,120300.98000000001
2023-07-04,121594.32
2023-07-05,120816.26
2023-07-06,120356.78
2023-07-07,119931.98000000001
2023-07-10,119229.25
2023-07-11,118756.45
2023-07-12,118511.52
2023-07-13,117559.08
2023-07-14,117523.75
2023-07-18,116430.32999999999
2023-07-19,116013.31
2023-07-20,117851.44
2023-07-21,118114.92000000001
2023-07-24,118525.38
2023-07-25,119461.35999999999
2023-07-26,120110.20999999999
2023-07-27,120547.0
2023-07-28,121203.09000000001
2023-07-31,120401.42
2023-08-01,121383.59
2023-08-02,122137.24
2023-08-03,120110.01999999999
2023-08-04,118159.0
2023-08-07,117543.98000000001
2023-08-08,118809.09
2023-08-09,120190.23000000001
2023-08-10,120424.61000000002
2023-08-14,122999.33000000002
2023-08-15,121063.0
2023-08-16,121711.94
2023-08-17,120870.89
2023-08-18,120750.87000000001
2023-08-21,120183.45000000001
2023-08-22,121394.73000000001
2023-08-23,121312.53
2023-08-24,122943.81
2023-08-25,122959.59
2023-08-28,123057.56999999999
2023-08-29,123893.3
2023-08-30,125553.79000000001
2023-08-31,125641.22
2023-09-01,127115.06
2023-09-04,127907.4
2023-09-05,129672.29000000001
2023-09-06,130659.69
2023-09-07,130690.97
2023-09-08,132653.66999999998
2023-09-11,132017.83000000002
2023-09-12,129347.43
2023-09-13,132036.73
2023-09-14,132297.33999999997
2023-09-15,134400.30000000002
2023-09-19,136435.43000000002
2023-09-20,136264.3
2023-09-21,134895.44
2023-09-22,133279.61000000002
2023-09-25,132856.31
2023-09-26,132239.51
2023-09-27,131101.12
2023-09-28,131722.33000000002
2023-09-29,129872.83000000002
2023-10-02,129047.33000000002
2023-10-03,127427.83000000002
2023-10-04,124423.33
2023-10-05,121136.83
2023-10-06,124764.33
2023-10-10,125661.33
2023-10-11,126766.83
2023-10-12,125911.83
2023-10-13,127632.83
2023-10-16,124975.33
2023-10-17,122417.33
2023-10-18,123548.33
2023-10-19,124611.33
2023-10-20,124491.83
2023-10-23,123931.83
2023-10-24,123285.33
2023-10-25,123776.33
2023-10-26,123558.33
2023-10-27,122136.83
2023-10-30,123536.83
2023-10-31,122165.83
2023-11-01,123713.33
2023-11-02,126229.83
2023-11-06,126396.33
2023-11-07,127167.83
2023-11-08,125442.83
2023-11-09,124035.33
2023-11-10,125948.83
2023-11-13,126449.83
2023-11-14,127174.33
2023-11-15,125355.33
2023-11-16,127064.83
2023-11-17,126757.33
2023-11-20,127009.83000000002
2023-11-21,126587.33
2023-11-22,127428.33000000002
2023-11-24,127920.83000000002
2023-11-27,127776.83
2023-11-28,127293.33
2023-11-29,127558.33
2023-11-30,127203.33
2023-12-01,128888.83
2023-12-04,128217.33
2023-12-05,127806.33
2023-12-06,127999.83
2023-12-07,129332.83000000002
2023-12-08,128980.33000000002
2023-12-11,127135.83000000002
2023-12-12,128336.33000000002
2023-12-13,128265.33000000002
2023-12-14,129833.33000000002
2023-12-15,130054.33000000002
2023-12-18,131054.33000000002
2023-12-19,129272.33000000002
2023-12-20,128735.83
2023-12-21,128399.33
2023-12-22,127612.83000000002
2023-12-25,127655.33000000002
2023-12-26,127597.83000000002
2023-12-27,126980.83
2023-12-28,128158.83000000002
2023-12-29,127653.83000000002
2024-01-04,127808.33000000002
